RangeTimesDirCount,Direction,SpeedRange [km/h],Frequency
172,280,19.0-28.0,5033.0
173,290,19.0-28.0,6509.0
174,300,19.0-28.0,2821.0
175,310,19.0-28.0,1750.0
176,320,19.0-28.0,920.0
177,330,19.0-28.0,529.0
178,340,19.0-28.0,188.0
179,350,19.0-28.0,103.0
180,0,28.0-38.0,1.0
181,10,28.0-38.0,3.0
182,20,28.0-38.0,0.0
183,30,28.0-38.0,1.0
184,40,28.0-38.0,3.0
185,50,28.0-38.0,11.0
186,60,28.0-38.0,3.0
187,70,28.0-38.0,12.0
188,80,28.0-38.0,92.0
189,90,28.0-38.0,35.0
190,100,28.0-38.0,0.0
191,110,28.0-38.0,0.0
192,120,28.0-38.0,0.0
193,130,28.0-38.0,3.0
194,140,28.0-38.0,17.0
195,150,28.0-38.0,7.0
196,160,28.0-38.0,4.0
197,170,28.0-38.0,2.0
198,180,28.0-38.0,4.0
199,190,28.0-38.0,6.0
200,200,28.0-38.0,7.0
201,210,28.0-38.0,6.0
202,220,28.0-38.0,13.0
203,230,28.0-38.0,68.0
204,240,28.0-38.0,2012.0
205,250,28.0-38.0,8345.0
206,260,28.0-38.0,5015.0
207,270,28.0-38.0,1158.0
208,280,28.0-38.0,765.0
209,290,28.0-38.0,967.0
210,300,28.0-38.0,339.0
211,310,28.0-38.0,180.0
212,320,28.0-38.0,72.0
213,330,28.0-38.0,39.0
214,340,28.0-38.0,8.0
215,350,28.0-38.0,3.0
216,0,38.0-50.0,0.0
217,10,38.0-50.0,0.0
218,20,38.0-50.0,0.0
219,30,38.0-50.0,0.0
220,40,38.0-50.0,0.0
221,50,38.0-50.0,0.0
222,60,38.0-50.0,0.0
223,70,38.0-50.0,0.0
224,80,38.0-50.0,0.0
225,90,38.0-50.0,0.0
226,100,38.0-50.0,0.0
227,110,38.0-50.0,0.0
228,120,38.0-50.0,0.0
229,130,38.0-50.0,0.0
230,140,38.0-50.0,0.0
231,150,38.0-50.0,1.0
232,160,38.0-50.0,0.0
233,170,38.0-50.0,0.0
234,180,38.0-50.0,0.0
235,190,38.0-50.0,0.0
236,200,38.0-50.0,0.0
237,210,38.0-50.0,2.0
238,220,38.0-50.0,1.0
239,230,38.0-50.0,2.0
240,240,38.0-50.0,275.0
241,250,38.0-50.0,1534.0
242,260,38.0-50.0,607.0
243,270,38.0-50.0,89.0
244,280,38.0-50.0,56.0
245,290,38.0-50.0,68.0
246,300,38.0-50.0,36.0
247,310,38.0-50.0,12.0
248,320,38.0-50.0,6.0
249,330,38.0-50.0,0.0
250,340,38.0-50.0,0.0
251,350,38.0-50.0,0.0
252,0,50.0-61.0,0.0
253,10,50.0-61.0,0.0
254,20,50.0-61.0,0.0
255,30,50.0-61.0,0.0
256,40,50.0-61.0,0.0
257,50,50.0-61.0,0.0
258,60,50.0-61.0,0.0
259,70,50.0-61.0,0.0
260,80,50.0-61.0,0.0
261,90,50.0-61.0,0.0
262,100,50.0-61.0,0.0
263,110,50.0-61.0,0.0
264,120,50.0-61.0,0.0
265,130,50.0-61.0,0.0
266,140,50.0-61.0,0.0
267,150,50.0-61.0,0.0
268,160,50.0-61.0,0.0
269,170,50.0-61.0,0.0
270,180,50.0-61.0,0.0
271,190,50.0-61.0,0.0
272,200,50.0-61.0,0.0
273,210,50.0-61.0,0.0
274,220,50.0-61.0,0.0
275,230,50.0-61.0,0.0
276,240,50.0-61.0,10.0
277,250,50.0-61.0,59.0
278,260,50.0-61.0,29.0
279,270,50.0-61.0,14.0
280,280,50.0-61.0,4.0
281,290,50.0-61.0,5.0
282,300,50.0-61.0,3.0
283,310,50.0-61.0,1.0
284,320,50.0-61.0,0.0
285,330,50.0-61.0,0.0
286,340,50.0-61.0,0.0
287,350,50.0-61.0,0.0
288,0,61.0>,0.0
289,10,61.0>,0.0
290,20,61.0>,0.0
291,30,61.0>,0.0
292,40,61.0>,0.0
293,50,61.0>,0.0
294,60,61.0>,0.0
295,70,61.0>,0.0
296,80,61.0>,0.0
297,90,61.0>,0.0
298,100,61.0>,1.0
299,110,61.0>,0.0
300,120,61.0>,0.0
301,130,61.0>,0.0
302,140,61.0>,0.0
303,150,61.0>,0.0
304,160,61.0>,1.0
305,170,61.0>,0.0
306,180,61.0>,1.0
307,190,61.0>,1.0
308,200,61.0>,0.0
309,210,61.0>,1.0
310,220,61.0>,0.0
311,230,61.0>,1.0
312,240,61.0>,0.0
313,250,61.0>,2.0
314,260,61.0>,0.0
315,270,61.0>,2.0
316,280,61.0>,0.0
317,290,61.0>,1.0
318,300,61.0>,0.0
319,310,61.0>,0.0
320,320,61.0>,1.0
321,330,61.0>,0.0
322,340,61.0>,0.0
323,350,61.0>,2.0
