RangeTimesDirCount,Direction,SpeedRange [m/s],Frequency
198,180,12.5-15.0,0.0
199,190,12.5-15.0,0.0
200,200,12.5-15.0,1.0
201,210,12.5-15.0,3.0
202,220,12.5-15.0,7.0
203,230,12.5-15.0,156.0
204,240,12.5-15.0,955.0
205,250,12.5-15.0,2280.0
206,260,12.5-15.0,1518.0
207,270,12.5-15.0,466.0
208,280,12.5-15.0,225.0
209,290,12.5-15.0,80.0
210,300,12.5-15.0,33.0
211,310,12.5-15.0,30.0
212,320,12.5-15.0,7.0
213,330,12.5-15.0,3.0
214,340,12.5-15.0,0.0
215,350,12.5-15.0,0.0
216,0,15.0-17.5,0.0
217,10,15.0-17.5,0.0
218,20,15.0-17.5,0.0
219,30,15.0-17.5,0.0
220,40,15.0-17.5,0.0
221,50,15.0-17.5,0.0
222,60,15.0-17.5,0.0
223,70,15.0-17.5,0.0
224,80,15.0-17.5,1.0
225,90,15.0-17.5,1.0
226,100,15.0-17.5,0.0
227,110,15.0-17.5,0.0
228,120,15.0-17.5,0.0
229,130,15.0-17.5,0.0
230,140,15.0-17.5,0.0
231,150,15.0-17.5,0.0
232,160,15.0-17.5,0.0
233,170,15.0-17.5,0.0
234,180,15.0-17.5,0.0
235,190,15.0-17.5,0.0
236,200,15.0-17.5,0.0
237,210,15.0-17.5,0.0
238,220,15.0-17.5,0.0
239,230,15.0-17.5,46.0
240,240,15.0-17.5,312.0
241,250,15.0-17.5,589.0
242,260,15.0-17.5,368.0
243,270,15.0-17.5,116.0
244,280,15.0-17.5,54.0
245,290,15.0-17.5,15.0
246,300,15.0-17.5,3.0
247,310,15.0-17.5,1.0
248,320,15.0-17.5,0.0
249,330,15.0-17.5,1.0
250,340,15.0-17.5,0.0
251,350,15.0-17.5,0.0
252,0,17.5>,0.0
253,10,17.5>,0.0
254,20,17.5>,0.0
255,30,17.5>,0.0
256,40,17.5>,0.0
257,50,17.5>,0.0
258,60,17.5>,0.0
259,70,17.5>,0.0
260,80,17.5>,0.0
261,90,17.5>,0.0
262,100,17.5>,0.0
263,110,17.5>,0.0
264,120,17.5>,0.0
265,130,17.5>,0.0
266,140,17.5>,0.0
267,150,17.5>,0.0
268,160,17.5>,0.0
269,170,17.5>,0.0
270,180,17.5>,0.0
271,190,17.5>,0.0
272,200,17.5>,0.0
273,210,17.5>,0.0
274,220,17.5>,0.0
275,230,17.5>,9.0
276,240,17.5>,91.0
277,250,17.5>,130.0
278,260,17.5>,85.0
279,270,17.5>,30.0
280,280,17.5>,20.0
281,290,17.5>,6.0
282,300,17.5>,4.0
283,310,17.5>,1.0
284,320,17.5>,0.0
285,330,17.5>,0.0
286,340,17.5>,0.0
287,350,17.5>,0.0
